,Average wind speed (m/s),Average power (kW),Input turbulence intensity (%),Input alpha
3356,9.10368,3062.5,42.96,-0.25
3040,20.8954,4686.07,42.11,0.44
6958,3.25064,91.1983,20.48,0.15
7650,12.6948,4537.98,33.76,0.5
104,3.93934,270.423,19.96,-0.45
4499,24.4257,4986.58,14.26,0.02
3578,16.009,4979.32,22.27,-0.38
2057,24.0004,4984.95,16.38,0.19
6089,14.5061,4973.41,25.93,-0.17
6111,14.3761,4975.83,21.52,0.02
4126,10.4667,3899.35,39.21,-0.1
229,4.84178,422.813,19.05,0.49
3687,18.3533,4985.68,14.06,0.47
7940,12.3638,4673.35,22.01,0.09
5063,13.6804,4970.15,13.73,-0.17
5978,9.63971,3020.19,42.4,0.18
5292,9.36163,3451.56,10.89,-0.43
2046,20.9138,4985.08,20.87,-0.05
4980,19.1528,4986.07,16.43,0.32
5382,6.92873,1356.38,33.01,0.42
1766,12.9254,4907.72,28.67,-0.45
6773,11.1019,4415.66,13.06,0.22
5559,11.2382,4152.01,36.44,-0.04
7963,22.2368,4947.1,37.29,-0.37
5240,20.4886,4986.53,8.6,-0.3
2371,14.7647,4816.14,36.57,-0.09
1101,10.6173,4241.96,18.71,-0.19
7059,14.7807,4981.58,21.84,-0.45
6451,10.4456,3675.97,30.64,0.31
5160,5.6417,652.635,22.09,0.03
4799,15.8837,4875.41,32.66,0.12
809,10.3568,3830.81,15.67,0.44
1974,12.4439,4898.03,20.97,-0.2
6431,11.2039,4257.24,24.99,0.01
6497,23.1666,4982.98,16.33,0.04
3475,15.5899,4975.29,26.23,-0.48
914,9.79007,3384.86,22.94,0.07
1972,7.37267,1832.51,36.25,-0.38
2562,7.17564,1389.74,25.92,0.14
935,5.36855,681.405,43.64,0.44
2566,4.97375,518.871,42.89,0.02
6144,20.4293,4986.66,14.77,-0.33
939,7.37211,1403.8,11.57,0.4
4555,14.0638,4984.66,5.51,-0.38
3432,21.0023,4924.97,34.91,0.29
6667,9.62359,3135.58,41.31,0.32
2928,20.021,4986.62,9.86,0.21
6843,13.6252,4887.99,22.77,-0.18
6264,21.9089,4892.01,37.07,0.29
7809,13.3154,4378.11,42.63,0.19
4991,22.5893,4986.52,8.96,0.4
7853,17.1921,4821.95,36.7,0.24
7456,12.2114,4041.43,34.99,0.44
3594,14.5554,4983.07,16.5,0.18
873,23.5945,4986.96,9.63,-0.26
5599,21.7267,4952.94,33.4,-0.07
5425,18.3219,4951.55,26.72,-0.41
6331,10.5185,3907.69,30.34,0.26
4810,12.0105,4353.79,31.55,0.45
1465,19.835,4867.15,44.75,-0.32
7879,11.8709,4773.26,12.09,0.29
5104,6.79788,1273.25,33.66,0.39
6140,7.30494,1467.6,27.09,-0.06
3064,24.2814,4963.58,33.73,0.1
4539,24.5174,4966.45,26.15,0.32
4578,16.0099,4984.72,8.66,0.07
1005,24.6352,4924.18,29.81,0.07
1113,20.024,4880.46,38.77,-0.33
7558,14.2263,4971.94,24.08,-0.4
6649,20.4704,4987.05,14.92,0.33
7047,13.8104,4982.39,6.36,0.4
3385,17.642,4985.47,18.53,0.44
6919,7.93316,1818.24,20.2,0.44
6616,12.7664,4537.94,35.95,-0.06
5755,4.11468,212.789,7.53,0.12
1792,8.43571,2415.7,29.5,-0.18
1454,10.405,3555.03,37.31,-0.04
2013,29.0068,3259.09,36.36,-0.37
6733,24.3925,4869.67,39.89,0.31
1258,21.5795,4986.49,9.59,-0.39
7865,16.3793,4962.26,23.2,-0.23
966,5.77583,734.014,6.68,-0.24
798,5.68772,779.416,33.68,-0.19
6654,8.91786,2610.14,15.55,-0.06
5871,18.6546,4891.9,39.09,0.15
4412,4.71696,418.851,30.55,-0.2
2164,16.5481,4782.98,44.84,0.43
5203,3.6634,220.088,21.39,-0.49
1267,20.2562,4880.96,41.55,-0.29
4295,10.4756,4741.09,5.39,-0.47
2526,4.11368,225.012,8.29,-0.12
1401,25.3098,4915.31,32.09,0.38
2685,23.9102,4945.64,35.65,0.14
3936,8.93482,2830.79,44.8,-0.15
1399,15.8246,4984.72,8.95,-0.03
4829,16.7972,4876.13,42.61,0.03
7230,6.91002,1262.24,35.67,0.3
